starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 18 22:20:37 2014	1403122837	0	4	5	4
Wed Jun 18 22:20:24 2014	1403122824	0	5	5	4
Wed Jun 18 22:20:28 2014	1403122828	0	5	5	5
Wed Jun 18 22:20:54 2014	1403122854	0	5	5	5
Wed Jun 18 22:20:33 2014	1403122833	0	5	5	5
Wed Jun 18 22:20:36 2014	1403122836	0	5	5	5
Wed Jun 18 22:20:42 2014	1403122842	0	5	5	5
Wed Jun 18 22:20:28 2014	1403122828	0	5	5	5
Wed Jun 18 22:20:25 2014	1403122825	0	5	5	5
Wed Jun 18 22:20:26 2014	1403122826	0	5	5	5
Wed Jun 18 22:20:43 2014	1403122843	0	5	5	5
Wed Jun 18 22:20:46 2014	1403122846	0	5	5	5
Wed Jun 18 22:20:34 2014	1403122834	0	5	5	5
Wed Jun 18 22:20:52 2014	1403122852	0	5	5	5
Wed Jun 18 22:20:48 2014	1403122848	0	5	5	5
Wed Jun 18 22:20:27 2014	1403122827	0	5	5	5
Wed Jun 18 22:20:45 2014	1403122845	0	5	5	5
Wed Jun 18 22:20:47 2014	1403122847	0	5	5	5
Wed Jun 18 22:20:40 2014	1403122840	0	5	5	5
Wed Jun 18 22:20:45 2014	1403122845	0	5	5	5
Wed Jun 18 22:20:31 2014	1403122831	0	5	5	5
Wed Jun 18 22:20:53 2014	1403122853	0	5	5	5
Wed Jun 18 22:20:48 2014	1403122848	0	5	5	5
Wed Jun 18 22:20:37 2014	1403122837	0	5	5	5
Wed Jun 18 22:20:45 2014	1403122845	0	5	5	5
Wed Jun 18 22:20:45 2014	1403122845	0	5	5	5
Wed Jun 18 22:20:37 2014	1403122837	0	5	5	5
Wed Jun 18 22:20:38 2014	1403122838	0	5	5	5
Wed Jun 18 22:20:25 2014	1403122825	0	5	5	5
Wed Jun 18 22:20:46 2014	1403122846	0	5	5	5
Wed Jun 18 22:20:30 2014	1403122830	0	5	5	5
Wed Jun 18 22:20:37 2014	1403122837	0	5	5	5
Wed Jun 18 22:20:36 2014	1403122836	0	5	5	5
Wed Jun 18 22:20:38 2014	1403122838	0	5	5	5
Wed Jun 18 22:20:52 2014	1403122852	0	5	5	5
Wed Jun 18 22:20:43 2014	1403122843	0	5	5	5
Wed Jun 18 22:20:37 2014	1403122837	0	5	5	5
Wed Jun 18 22:20:52 2014	1403122852	0	5	5	5
Wed Jun 18 22:20:37 2014	1403122837	0	5	5	5
Wed Jun 18 22:20:52 2014	1403122852	0	5	5	5
Wed Jun 18 22:20:46 2014	1403122846	0	5	5	5
Wed Jun 18 22:20:25 2014	1403122825	0	5	5	5
Wed Jun 18 22:20:46 2014	1403122846	0	5	6	5
Wed Jun 18 22:20:28 2014	1403122828	0	5	6	5
Wed Jun 18 22:20:46 2014	1403122846	0	5	6	5
Wed Jun 18 22:20:54 2014	1403122854	0	6	6	5
Wed Jun 18 22:20:49 2014	1403122849	0	6	6	5
Wed Jun 18 22:20:50 2014	1403122850	0	6	6	5
Wed Jun 18 22:20:25 2014	1403122825	0	6	6	5
Wed Jun 18 22:20:53 2014	1403122853	0	6	6	5
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	5
Wed Jun 18 22:20:33 2014	1403122833	0	6	6	5
Wed Jun 18 22:20:46 2014	1403122846	0	6	6	5
Wed Jun 18 22:20:37 2014	1403122837	0	6	6	5
Wed Jun 18 22:20:37 2014	1403122837	0	6	6	5
Wed Jun 18 22:20:28 2014	1403122828	0	6	6	6
Wed Jun 18 22:20:39 2014	1403122839	0	6	6	6
Wed Jun 18 22:20:52 2014	1403122852	0	6	6	6
Wed Jun 18 22:20:34 2014	1403122834	0	6	6	6
Wed Jun 18 22:20:45 2014	1403122845	0	6	6	6
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	5
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	6
Wed Jun 18 22:20:50 2014	1403122850	0	6	6	6
Wed Jun 18 22:20:52 2014	1403122852	0	6	6	6
Wed Jun 18 22:20:52 2014	1403122852	0	6	6	6
Wed Jun 18 22:20:43 2014	1403122843	0	6	6	6
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	6
Wed Jun 18 22:20:37 2014	1403122837	0	6	6	6
Wed Jun 18 22:20:43 2014	1403122843	0	6	6	6
Wed Jun 18 22:20:49 2014	1403122849	0	6	6	6
Wed Jun 18 22:20:46 2014	1403122846	0	6	6	6
Wed Jun 18 22:20:51 2014	1403122851	0	6	6	6
Wed Jun 18 22:20:47 2014	1403122847	0	6	6	6
Wed Jun 18 22:20:47 2014	1403122847	0	6	6	6
Wed Jun 18 22:20:25 2014	1403122825	0	6	6	6
Wed Jun 18 22:20:52 2014	1403122852	0	6	6	6
Wed Jun 18 22:20:43 2014	1403122843	0	6	6	6
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	6
Wed Jun 18 22:20:32 2014	1403122832	0	6	6	6
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	6
Wed Jun 18 22:20:45 2014	1403122845	0	6	6	6
Wed Jun 18 22:20:50 2014	1403122850	0	6	6	6
Wed Jun 18 22:20:36 2014	1403122836	0	6	6	6
Wed Jun 18 22:20:31 2014	1403122831	0	6	6	6
Wed Jun 18 22:20:49 2014	1403122849	0	6	6	6
Wed Jun 18 22:20:35 2014	1403122835	0	6	6	6
Wed Jun 18 22:20:26 2014	1403122826	0	6	6	6
Wed Jun 18 22:20:37 2014	1403122837	0	6	6	6
Wed Jun 18 22:20:29 2014	1403122829	0	6	6	6
Wed Jun 18 22:20:32 2014	1403122832	0	6	6	6
Wed Jun 18 22:20:51 2014	1403122851	0	6	6	6
Wed Jun 18 22:20:42 2014	1403122842	0	6	6	6
Wed Jun 18 22:20:47 2014	1403122847	0	6	6	6
Wed Jun 18 22:20:36 2014	1403122836	0	6	6	6
Wed Jun 18 22:20:49 2014	1403122849	0	6	6	6
Wed Jun 18 22:20:34 2014	1403122834	0	6	6	6
Wed Jun 18 22:20:38 2014	1403122838	0	6	6	6
Wed Jun 18 22:20:34 2014	1403122834	0	6	6	6
Wed Jun 18 22:20:34 2014	1403122834	0	6	6	6
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	6
Wed Jun 18 22:20:38 2014	1403122838	0	6	6	6
Wed Jun 18 22:20:42 2014	1403122842	0	6	6	6
Wed Jun 18 22:20:42 2014	1403122842	0	6	6	6
Wed Jun 18 22:20:28 2014	1403122828	0	6	6	6
Wed Jun 18 22:20:44 2014	1403122844	0	6	6	6
Wed Jun 18 22:20:40 2014	1403122840	0	6	6	6
Wed Jun 18 22:20:30 2014	1403122830	0	6	6	6
Wed Jun 18 22:20:39 2014	1403122839	0	6	6	6
Wed Jun 18 22:20:33 2014	1403122833	0	6	6	6
Wed Jun 18 22:20:39 2014	1403122839	0	6	6	6
Wed Jun 18 22:20:50 2014	1403122850	0	6	6	6
Wed Jun 18 22:20:41 2014	1403122841	0	6	6	6
Wed Jun 18 22:20:24 2014	1403122824	0	6	6	6
Wed Jun 18 22:20:45 2014	1403122845	0	6	6	6
Wed Jun 18 22:20:39 2014	1403122839	0	6	6	6
Wed Jun 18 22:20:32 2014	1403122832	0	6	6	6
Wed Jun 18 22:20:27 2014	1403122827	0	6	6	6
Wed Jun 18 22:20:37 2014	1403122837	0	6	6	6
Wed Jun 18 22:20:39 2014	1403122839	0	6	6	6
Wed Jun 18 22:20:34 2014	1403122834	0	6	6	6
Wed Jun 18 22:20:34 2014	1403122834	0	6	6	6
Wed Jun 18 22:20:43 2014	1403122843	0	6	6	6
Wed Jun 18 22:20:28 2014	1403122828	0	6	6	6
Wed Jun 18 22:20:50 2014	1403122850	0	6	6	6
Wed Jun 18 22:20:33 2014	1403122833	0	6	6	6
Wed Jun 18 22:20:36 2014	1403122836	0	6	6	6
Wed Jun 18 22:20:36 2014	1403122836	0	6	6	6
Wed Jun 18 22:20:33 2014	1403122833	0	6	6	6
Wed Jun 18 22:20:33 2014	1403122833	0	6	6	6
Wed Jun 18 22:20:37 2014	1403122837	0	6	6	6
Wed Jun 18 22:20:44 2014	1403122844	0	6	6	6
Wed Jun 18 22:20:30 2014	1403122830	0	6	6	6
Wed Jun 18 22:20:25 2014	1403122825	0	6	6	6
Wed Jun 18 22:20:26 2014	1403122826	0	6	6	6
Wed Jun 18 22:20:25 2014	1403122825	0	6	6	6
Wed Jun 18 22:20:32 2014	1403122832	0	6	6	6
Wed Jun 18 22:20:52 2014	1403122852	0	6	6	6
Wed Jun 18 22:20:32 2014	1403122832	0	6	6	6
Wed Jun 18 22:20:31 2014	1403122831	0	6	6	6
Wed Jun 18 22:20:48 2014	1403122848	0	6	6	6
Wed Jun 18 22:20:44 2014	1403122844	0	6	6	6
Wed Jun 18 22:20:37 2014	1403122837	0	6	6	6
Wed Jun 18 22:20:30 2014	1403122830	0	6	6	6
Wed Jun 18 22:20:27 2014	1403122827	0	6	6	6
Wed Jun 18 22:20:45 2014	1403122845	0	6	6	6
Wed Jun 18 22:20:33 2014	1403122833	0	6	6	6
Wed Jun 18 22:20:28 2014	1403122828	0	6	6	6
Wed Jun 18 22:20:31 2014	1403122831	0	6	6	6
Wed Jun 18 22:20:39 2014	1403122839	0	6	6	6
Wed Jun 18 22:20:52 2014	1403122852	0	6	6	6
Wed Jun 18 22:20:51 2014	1403122851	0	6	6	6
Wed Jun 18 22:20:26 2014	1403122826	0	6	6	6
Wed Jun 18 22:20:28 2014	1403122828	0	6	6	6
Wed Jun 18 22:20:45 2014	1403122845	0	6	6	6
Wed Jun 18 22:20:39 2014	1403122839	0	6	6	6
Wed Jun 18 22:20:36 2014	1403122836	0	6	6	6
Wed Jun 18 22:20:27 2014	1403122827	0	6	6	6
Wed Jun 18 22:20:25 2014	1403122825	0	6	6	6
Wed Jun 18 22:20:36 2014	1403122836	0	6	6	6
Wed Jun 18 22:20:30 2014	1403122830	0	6	6	6
Wed Jun 18 22:20:26 2014	1403122826	0	6	6	6
Wed Jun 18 22:20:25 2014	1403122825	0	6	6	6
