starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 17 10:41:00 2014	1402994460	0	18	18	18
Tue Jun 17 10:41:00 2014	1402994460	0	19	19	18
Tue Jun 17 10:41:02 2014	1402994462	0	19	19	19
Tue Jun 17 10:40:58 2014	1402994458	0	19	19	19
Tue Jun 17 10:41:00 2014	1402994460	0	20	20	20
Tue Jun 17 10:41:01 2014	1402994461	0	21	21	21
Tue Jun 17 10:41:02 2014	1402994462	0	21	21	21
Tue Jun 17 10:41:01 2014	1402994461	0	22	22	21
Tue Jun 17 10:41:02 2014	1402994462	0	22	22	22
Tue Jun 17 10:41:00 2014	1402994460	0	22	22	22
Tue Jun 17 10:41:02 2014	1402994462	0	22	22	22
Tue Jun 17 10:41:02 2014	1402994462	0	23	23	22
Tue Jun 17 10:41:02 2014	1402994462	0	23	23	22
Tue Jun 17 10:41:00 2014	1402994460	0	23	23	23
Tue Jun 17 10:41:01 2014	1402994461	0	23	23	23
Tue Jun 17 10:40:58 2014	1402994458	0	23	23	23
Tue Jun 17 10:41:00 2014	1402994460	0	23	23	23
Tue Jun 17 10:41:00 2014	1402994460	0	23	23	23
Tue Jun 17 10:41:00 2014	1402994460	0	23	23	23
Tue Jun 17 10:41:00 2014	1402994460	0	23	23	23
Tue Jun 17 10:41:02 2014	1402994462	0	23	23	23
Tue Jun 17 10:41:00 2014	1402994460	0	23	23	21
Tue Jun 17 10:41:02 2014	1402994462	0	24	24	24
Tue Jun 17 10:40:58 2014	1402994458	0	24	24	23
Tue Jun 17 10:41:00 2014	1402994460	0	24	24	22
Tue Jun 17 10:41:00 2014	1402994460	0	24	24	24
Tue Jun 17 10:41:02 2014	1402994462	0	24	24	24
Tue Jun 17 10:41:02 2014	1402994462	0	24	24	24
Tue Jun 17 10:41:00 2014	1402994460	0	24	24	24
Tue Jun 17 10:41:00 2014	1402994460	0	24	24	24
Tue Jun 17 10:41:02 2014	1402994462	0	24	24	24
Tue Jun 17 10:40:49 2014	1402994449	5	20	25	18
Tue Jun 17 10:40:59 2014	1402994459	0	25	25	25
Tue Jun 17 10:41:00 2014	1402994460	0	25	25	24
Tue Jun 17 10:40:59 2014	1402994459	0	25	25	23
Tue Jun 17 10:40:59 2014	1402994459	0	25	25	25
Tue Jun 17 10:41:02 2014	1402994462	0	25	25	25
Tue Jun 17 10:41:00 2014	1402994460	0	25	25	25
Tue Jun 17 10:40:59 2014	1402994459	0	25	26	25
Tue Jun 17 10:41:00 2014	1402994460	0	25	26	25
Tue Jun 17 10:41:02 2014	1402994462	0	26	26	25
Tue Jun 17 10:41:00 2014	1402994460	0	25	26	25
Tue Jun 17 10:41:00 2014	1402994460	0	26	26	25
Tue Jun 17 10:40:58 2014	1402994458	0	26	26	26
Tue Jun 17 10:40:59 2014	1402994459	0	26	26	26
Tue Jun 17 10:41:03 2014	1402994463	0	26	26	26
Tue Jun 17 10:41:00 2014	1402994460	0	26	26	25
Tue Jun 17 10:41:02 2014	1402994462	0	26	26	26
Tue Jun 17 10:40:59 2014	1402994459	0	26	26	26
Tue Jun 17 10:41:02 2014	1402994462	0	26	26	26
Tue Jun 17 10:41:01 2014	1402994461	0	26	26	26
Tue Jun 17 10:41:00 2014	1402994460	0	26	26	26
Tue Jun 17 10:41:00 2014	1402994460	0	26	26	26
Tue Jun 17 10:41:00 2014	1402994460	0	26	26	26
Tue Jun 17 10:41:00 2014	1402994460	0	26	27	26
Tue Jun 17 10:41:00 2014	1402994460	0	27	27	26
Tue Jun 17 10:41:00 2014	1402994460	0	27	27	27
Tue Jun 17 10:40:59 2014	1402994459	0	27	27	26
Tue Jun 17 10:40:59 2014	1402994459	0	27	27	27
Tue Jun 17 10:41:00 2014	1402994460	0	27	27	27
Tue Jun 17 10:41:00 2014	1402994460	0	27	27	27
Tue Jun 17 10:40:49 2014	1402994449	3	24	27	22
Tue Jun 17 10:41:02 2014	1402994462	0	27	27	27
Tue Jun 17 10:40:58 2014	1402994458	0	27	27	27
Tue Jun 17 10:41:00 2014	1402994460	0	27	27	27
Tue Jun 17 10:41:00 2014	1402994460	0	27	27	27
