starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 15 18:11:40 2014	1402848700	0	545	545	545
Sun Jun 15 18:11:40 2014	1402848700	0	545	545	545
Sun Jun 15 18:11:39 2014	1402848699	0	545	545	545
Sun Jun 15 18:11:34 2014	1402848694	0	546	546	545
Sun Jun 15 18:11:22 2014	1402848682	0	546	546	546
Sun Jun 15 18:11:29 2014	1402848689	0	546	546	546
Sun Jun 15 18:11:33 2014	1402848693	0	546	546	546
Sun Jun 15 18:11:28 2014	1402848688	0	546	546	546
Sun Jun 15 18:11:40 2014	1402848700	0	546	546	546
Sun Jun 15 18:11:40 2014	1402848700	0	547	547	546
Sun Jun 15 18:11:40 2014	1402848700	0	547	547	547
Sun Jun 15 18:11:40 2014	1402848700	0	547	547	547
Sun Jun 15 18:11:40 2014	1402848700	0	547	547	547
Sun Jun 15 18:11:40 2014	1402848700	0	548	548	547
Sun Jun 15 18:11:22 2014	1402848682	0	548	548	548
Sun Jun 15 18:11:40 2014	1402848700	0	548	548	548
Sun Jun 15 18:11:40 2014	1402848700	0	548	548	548
Sun Jun 15 18:11:20 2014	1402848680	0	548	548	548
Sun Jun 15 18:11:22 2014	1402848682	0	549	549	548
Sun Jun 15 18:11:40 2014	1402848700	0	549	549	549
Sun Jun 15 18:11:20 2014	1402848680	0	549	549	549
Sun Jun 15 18:11:40 2014	1402848700	0	549	549	549
Sun Jun 15 18:11:28 2014	1402848688	0	549	549	549
Sun Jun 15 18:11:38 2014	1402848698	0	549	549	549
Sun Jun 15 18:11:39 2014	1402848699	0	549	549	549
Sun Jun 15 18:11:40 2014	1402848700	0	549	549	549
Sun Jun 15 18:11:28 2014	1402848688	0	549	550	549
Sun Jun 15 18:11:22 2014	1402848682	0	549	550	549
Sun Jun 15 18:11:33 2014	1402848693	0	550	550	549
Sun Jun 15 18:11:29 2014	1402848689	0	550	550	549
Sun Jun 15 18:11:40 2014	1402848700	0	550	550	549
Sun Jun 15 18:11:34 2014	1402848694	0	550	550	550
Sun Jun 15 18:11:22 2014	1402848682	0	550	550	550
Sun Jun 15 18:11:40 2014	1402848700	0	550	550	550
Sun Jun 15 18:11:40 2014	1402848700	0	550	550	550
Sun Jun 15 18:11:40 2014	1402848700	0	550	550	550
Sun Jun 15 18:11:40 2014	1402848700	0	550	550	550
Sun Jun 15 18:11:36 2014	1402848696	0	550	550	550
Sun Jun 15 18:11:40 2014	1402848700	0	550	550	550
Sun Jun 15 18:11:17 2014	1402848677	0	550	550	550
Sun Jun 15 18:11:32 2014	1402848692	0	550	551	550
Sun Jun 15 18:11:33 2014	1402848693	0	551	551	550
Sun Jun 15 18:11:30 2014	1402848690	0	551	551	551
Sun Jun 15 18:11:19 2014	1402848679	0	551	551	551
Sun Jun 15 18:11:40 2014	1402848700	0	552	552	551
Sun Jun 15 18:11:34 2014	1402848694	0	552	552	551
Sun Jun 15 18:11:20 2014	1402848680	0	552	552	551
Sun Jun 15 18:11:28 2014	1402848688	0	552	552	552
Sun Jun 15 18:11:40 2014	1402848700	0	552	552	552
Sun Jun 15 18:11:28 2014	1402848688	0	553	553	552
Sun Jun 15 18:11:40 2014	1402848700	0	553	553	553
Sun Jun 15 18:11:28 2014	1402848688	0	553	553	553
Sun Jun 15 18:11:28 2014	1402848688	0	554	554	554
Sun Jun 15 18:11:28 2014	1402848688	0	554	554	554
Sun Jun 15 18:11:33 2014	1402848693	0	554	554	554
Sun Jun 15 18:11:36 2014	1402848696	0	554	554	554
Sun Jun 15 18:11:33 2014	1402848693	0	555	555	554
Sun Jun 15 18:11:27 2014	1402848687	0	555	555	555
Sun Jun 15 18:11:28 2014	1402848688	0	555	555	555
Sun Jun 15 18:11:28 2014	1402848688	0	555	555	555
Sun Jun 15 18:11:17 2014	1402848677	0	555	555	555
Sun Jun 15 18:11:28 2014	1402848688	0	555	556	555
Sun Jun 15 18:11:28 2014	1402848688	0	556	556	556
Sun Jun 15 18:11:40 2014	1402848700	0	556	556	556
Sun Jun 15 18:11:33 2014	1402848693	0	556	556	556
Sun Jun 15 18:11:20 2014	1402848680	0	556	556	556
Sun Jun 15 18:11:19 2014	1402848679	0	556	556	556
Sun Jun 15 18:11:40 2014	1402848700	0	557	557	556
Sun Jun 15 18:11:19 2014	1402848679	0	557	557	557
Sun Jun 15 18:11:29 2014	1402848689	0	558	558	558
Sun Jun 15 18:11:40 2014	1402848700	0	558	558	558
Sun Jun 15 18:11:28 2014	1402848688	0	559	559	559
Sun Jun 15 18:11:22 2014	1402848682	0	559	559	559
Sun Jun 15 18:11:28 2014	1402848688	0	560	560	560
Sun Jun 15 18:11:20 2014	1402848680	0	560	560	560
Sun Jun 15 18:11:33 2014	1402848693	0	560	560	560
Sun Jun 15 18:11:28 2014	1402848688	0	560	560	560
Sun Jun 15 18:11:36 2014	1402848696	0	560	560	560
Sun Jun 15 18:11:40 2014	1402848700	0	560	560	560
Sun Jun 15 18:11:28 2014	1402848688	0	561	561	561
Sun Jun 15 18:11:20 2014	1402848680	0	561	561	561
Sun Jun 15 18:11:34 2014	1402848694	0	561	561	561
Sun Jun 15 18:11:28 2014	1402848688	0	562	562	561
Sun Jun 15 18:11:33 2014	1402848693	0	562	562	562
Sun Jun 15 18:11:28 2014	1402848688	0	562	562	562
Sun Jun 15 18:11:29 2014	1402848689	0	562	562	562
Sun Jun 15 18:11:40 2014	1402848700	0	562	562	562
Sun Jun 15 18:11:40 2014	1402848700	0	562	562	562
Sun Jun 15 18:11:28 2014	1402848688	0	563	563	562
Sun Jun 15 18:11:33 2014	1402848693	0	563	563	563
Sun Jun 15 18:11:32 2014	1402848692	0	563	563	563
Sun Jun 15 18:11:32 2014	1402848692	0	563	563	563
Sun Jun 15 18:11:40 2014	1402848700	0	563	563	563
Sun Jun 15 18:11:28 2014	1402848688	0	563	563	563
Sun Jun 15 18:11:33 2014	1402848693	0	564	564	564
Sun Jun 15 18:11:22 2014	1402848682	0	564	564	564
Sun Jun 15 18:11:40 2014	1402848700	0	564	564	564
Sun Jun 15 18:11:34 2014	1402848694	0	565	565	564
Sun Jun 15 18:11:40 2014	1402848700	0	565	565	565
Sun Jun 15 18:11:40 2014	1402848700	0	565	565	565
Sun Jun 15 18:11:34 2014	1402848694	0	566	566	566
Sun Jun 15 18:11:28 2014	1402848688	0	566	566	566
Sun Jun 15 18:11:32 2014	1402848692	0	567	567	567
Sun Jun 15 18:11:19 2014	1402848679	0	567	567	567
Sun Jun 15 18:11:19 2014	1402848679	0	567	567	567
Sun Jun 15 18:11:28 2014	1402848688	0	567	567	567
Sun Jun 15 18:11:28 2014	1402848688	0	567	567	567
Sun Jun 15 18:11:34 2014	1402848694	0	568	568	567
Sun Jun 15 18:11:19 2014	1402848679	0	568	568	568
Sun Jun 15 18:11:39 2014	1402848699	0	568	568	568
Sun Jun 15 18:11:22 2014	1402848682	0	568	568	568
Sun Jun 15 18:11:33 2014	1402848693	0	569	569	568
Sun Jun 15 18:11:20 2014	1402848680	0	569	569	569
Sun Jun 15 18:11:20 2014	1402848680	0	569	569	569
Sun Jun 15 18:11:19 2014	1402848679	0	570	570	570
Sun Jun 15 18:11:28 2014	1402848688	0	570	570	570
Sun Jun 15 18:11:33 2014	1402848693	0	571	571	570
Sun Jun 15 18:11:28 2014	1402848688	0	571	571	570
Sun Jun 15 18:11:32 2014	1402848692	0	571	571	570
Sun Jun 15 18:11:28 2014	1402848688	0	571	571	571
Sun Jun 15 18:11:19 2014	1402848679	0	571	571	571
