starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 16 19:18:18 2014	1402939098	0	7	7	7
Mon Jun 16 19:18:37 2014	1402939117	0	8	8	8
Mon Jun 16 19:18:19 2014	1402939099	0	8	8	8
Mon Jun 16 19:18:32 2014	1402939112	0	8	8	8
Mon Jun 16 19:18:13 2014	1402939093	0	8	8	8
Mon Jun 16 19:18:14 2014	1402939094	0	8	8	8
Mon Jun 16 19:18:19 2014	1402939099	0	8	8	8
Mon Jun 16 19:18:27 2014	1402939107	0	8	8	8
Mon Jun 16 19:18:21 2014	1402939101	0	8	8	8
Mon Jun 16 19:18:45 2014	1402939125	0	8	8	8
Mon Jun 16 19:18:42 2014	1402939122	0	8	8	8
Mon Jun 16 19:18:45 2014	1402939125	0	8	8	8
Mon Jun 16 19:18:30 2014	1402939110	0	8	8	8
Mon Jun 16 19:18:34 2014	1402939114	0	8	8	8
Mon Jun 16 19:18:44 2014	1402939124	0	8	8	8
Mon Jun 16 19:18:16 2014	1402939096	0	8	8	8
Mon Jun 16 19:18:47 2014	1402939127	0	8	8	8
Mon Jun 16 19:18:28 2014	1402939108	0	8	8	8
Mon Jun 16 19:18:41 2014	1402939121	0	8	8	8
Mon Jun 16 19:18:29 2014	1402939109	0	8	8	8
Mon Jun 16 19:18:14 2014	1402939094	0	8	8	8
Mon Jun 16 19:18:20 2014	1402939100	0	8	8	8
Mon Jun 16 19:18:10 2014	1402939090	0	8	8	8
Mon Jun 16 19:18:31 2014	1402939111	0	8	8	8
Mon Jun 16 19:18:19 2014	1402939099	0	8	8	8
Mon Jun 16 19:18:24 2014	1402939104	0	8	8	8
Mon Jun 16 19:18:30 2014	1402939110	0	8	8	8
Mon Jun 16 19:18:28 2014	1402939108	0	8	8	8
Mon Jun 16 19:18:40 2014	1402939120	0	8	8	8
Mon Jun 16 19:18:18 2014	1402939098	0	8	8	8
Mon Jun 16 19:18:39 2014	1402939119	0	8	8	8
Mon Jun 16 19:18:15 2014	1402939095	0	8	8	8
Mon Jun 16 19:18:31 2014	1402939111	0	8	8	8
Mon Jun 16 19:18:34 2014	1402939114	0	8	8	8
Mon Jun 16 19:18:45 2014	1402939125	0	8	8	8
Mon Jun 16 19:18:40 2014	1402939120	0	8	8	8
Mon Jun 16 19:18:35 2014	1402939115	0	8	8	8
Mon Jun 16 19:18:27 2014	1402939107	0	8	8	8
Mon Jun 16 19:18:44 2014	1402939124	0	8	8	8
Mon Jun 16 19:18:37 2014	1402939117	0	8	8	8
Mon Jun 16 19:18:23 2014	1402939103	0	8	8	8
Mon Jun 16 19:18:42 2014	1402939122	0	8	8	8
Mon Jun 16 19:18:47 2014	1402939127	0	8	8	8
Mon Jun 16 19:18:41 2014	1402939121	0	8	8	8
Mon Jun 16 19:18:19 2014	1402939099	0	8	8	8
Mon Jun 16 19:18:23 2014	1402939103	0	8	8	8
Mon Jun 16 19:18:10 2014	1402939090	0	8	8	8
Mon Jun 16 19:18:16 2014	1402939096	0	8	8	8
Mon Jun 16 19:18:40 2014	1402939120	0	8	8	8
Mon Jun 16 19:18:38 2014	1402939118	0	8	8	8
Mon Jun 16 19:18:42 2014	1402939122	0	8	8	8
Mon Jun 16 19:18:43 2014	1402939123	0	8	8	8
Mon Jun 16 19:18:26 2014	1402939106	0	8	8	8
Mon Jun 16 19:18:09 2014	1402939089	0	8	8	8
Mon Jun 16 19:18:30 2014	1402939110	0	8	8	8
Mon Jun 16 19:18:30 2014	1402939110	0	8	8	8
Mon Jun 16 19:18:39 2014	1402939119	0	8	8	8
Mon Jun 16 19:18:13 2014	1402939093	0	8	8	8
Mon Jun 16 19:18:33 2014	1402939113	0	8	9	8
Mon Jun 16 19:18:46 2014	1402939126	0	9	9	8
Mon Jun 16 19:18:43 2014	1402939123	0	9	9	8
Mon Jun 16 19:18:47 2014	1402939127	0	8	9	8
Mon Jun 16 19:18:15 2014	1402939095	0	9	9	8
Mon Jun 16 19:18:29 2014	1402939109	0	9	9	8
Mon Jun 16 19:18:39 2014	1402939119	0	9	9	8
Mon Jun 16 19:18:36 2014	1402939116	0	9	9	8
