starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 16 19:19:38 2014	1402939178	0	26	26	26
Mon Jun 16 19:19:43 2014	1402939183	0	27	27	26
Mon Jun 16 19:20:22 2014	1402939222	0	29	29	29
Mon Jun 16 19:21:03 2014	1402939263	0	29	29	29
Mon Jun 16 19:21:15 2014	1402939275	0	30	30	30
Mon Jun 16 19:20:17 2014	1402939217	0	31	31	31
Mon Jun 16 19:20:33 2014	1402939233	0	31	31	31
Mon Jun 16 19:21:18 2014	1402939278	0	31	31	31
Mon Jun 16 19:20:15 2014	1402939215	0	31	31	31
Mon Jun 16 19:21:08 2014	1402939268	0	31	31	31
Mon Jun 16 19:20:30 2014	1402939230	0	31	31	31
Mon Jun 16 19:20:06 2014	1402939206	0	31	31	31
Mon Jun 16 19:20:02 2014	1402939202	0	32	32	32
Mon Jun 16 19:19:49 2014	1402939189	0	32	32	32
Mon Jun 16 19:20:22 2014	1402939222	0	32	32	32
Mon Jun 16 19:20:39 2014	1402939239	0	32	32	32
Mon Jun 16 19:20:26 2014	1402939226	0	32	32	32
Mon Jun 16 19:20:26 2014	1402939226	0	32	32	32
Mon Jun 16 19:20:38 2014	1402939238	0	32	32	32
Mon Jun 16 19:21:04 2014	1402939264	0	32	32	32
Mon Jun 16 19:20:39 2014	1402939239	0	32	32	32
Mon Jun 16 19:20:14 2014	1402939214	0	32	33	32
Mon Jun 16 19:20:24 2014	1402939224	0	33	33	33
Mon Jun 16 19:20:10 2014	1402939210	0	33	33	33
Mon Jun 16 19:19:41 2014	1402939181	0	33	33	33
Mon Jun 16 19:20:30 2014	1402939230	0	33	33	33
Mon Jun 16 19:20:11 2014	1402939211	0	33	33	33
Mon Jun 16 19:20:00 2014	1402939200	0	33	33	33
Mon Jun 16 19:20:05 2014	1402939205	0	33	33	33
Mon Jun 16 19:21:12 2014	1402939272	0	33	33	33
Mon Jun 16 19:20:48 2014	1402939248	0	33	33	33
Mon Jun 16 19:20:49 2014	1402939249	0	33	33	33
Mon Jun 16 19:21:19 2014	1402939279	0	33	33	33
Mon Jun 16 19:20:03 2014	1402939203	0	33	33	33
Mon Jun 16 19:21:00 2014	1402939260	0	33	33	33
Mon Jun 16 19:21:21 2014	1402939281	0	33	33	33
Mon Jun 16 19:20:14 2014	1402939214	0	33	33	33
Mon Jun 16 19:21:05 2014	1402939265	0	33	33	33
Mon Jun 16 19:21:20 2014	1402939280	0	33	33	33
Mon Jun 16 19:19:49 2014	1402939189	0	33	34	33
Mon Jun 16 19:19:54 2014	1402939194	0	34	34	33
Mon Jun 16 19:20:43 2014	1402939243	0	34	34	33
Mon Jun 16 19:20:22 2014	1402939222	0	34	34	34
Mon Jun 16 19:20:32 2014	1402939232	0	34	34	34
Mon Jun 16 19:21:10 2014	1402939270	0	34	34	34
Mon Jun 16 19:20:43 2014	1402939243	0	34	34	34
Mon Jun 16 19:20:11 2014	1402939211	0	34	34	34
Mon Jun 16 19:20:27 2014	1402939227	0	34	34	34
